date_of_birth,gender,marital_status,religion,nationality,cnic,father_name,father_occupation,semester,address
2000-04-26,Female,Other,Islam,Pakistani,1923120231045,Sajid Khan,Artist,2,1234 Street Lahore
1998-08-24,Male,Single,Islam,Pakistani,8600232779394,Sajjad Ahmed,Engineer,3,5678 Street Karachi
2004-06-24,Female,Married,Islam,Pakistani,3665691926579,Salman Ali,Doctor,4,9012 Street Islamabad
1995-09-21,Male,Other,Islam,Pakistani,9631304074034,Sami Khan,Teacher,5,1234 Street Lahore
1994-03-21,Female,Single,Islam,Pakistani,1480329885323,Saqib Ali,Accountant,6,5678 Street Karachi
1995-09-05,Male,Married,Islam,Pakistani,0053257707719,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
2004-02-05,Female,Other,Islam,Pakistani,4313839975846,Shahid Ali,Artist,8,1234 Street Lahore
1995-09-18,Male,Single,Islam,Pakistani,7347080612141,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1996-02-08,Female,Married,Islam,Pakistani,8852754045723,Shoaib Khan,Doctor,2,9012 Street Islamabad
1998-02-02,Male,Other,Islam,Pakistani,4301386071395,Sohail Ahmed,Teacher,3,1234 Street Lahore
1994-01-08,Female,Single,Islam,Pakistani,4525073822465,Taimoor Ali,Accountant,4,5678 Street Karachi
2001-12-17,Male,Married,Islam,Pakistani,8281933497235,Talha Ahmed,Professor,5,9012 Street Islamabad
2004-04-01,Female,Other,Islam,Pakistani,9700541620017,Tariq Ali,Artist,6,1234 Street Lahore
2001-08-06,Male,Single,Islam,Pakistani,7063705815213,Waqas Ahmed,Engineer,7,5678 Street Karachi
1999-09-02,Female,Married,Islam,Pakistani,6236218894437,Waseem Khan,Doctor,8,9012 Street Islamabad
2001-04-10,Male,Other,Islam,Pakistani,9725926020750,Yasir Ahmed,Teacher,1,1234 Street Lahore
1997-09-08,Female,Single,Islam,Pakistani,0131979973722,Yasir Khan,Accountant,2,5678 Street Karachi
2004-11-14,Male,Married,Islam,Pakistani,2141011093691,Zafar Ali,Professor,3,9012 Street Islamabad
2001-07-13,Female,Other,Islam,Pakistani,4680361777173,Zahid Ahmed,Artist,4,1234 Street Lahore
2003-03-03,Male,Single,Islam,Pakistani,3861564347248,Zaid Khan,Engineer,5,5678 Street Karachi
2004-06-02,Female,Married,Islam,Pakistani,4536883535639,Zain Ahmed,Doctor,6,9012 Street Islamabad
1997-10-08,Male,Other,Islam,Pakistani,1681182937296,Zainab Khan,Teacher,7,1234 Street Lahore
1997-06-19,Female,Single,Islam,Pakistani,2395647711383,Zainul Abideen,Accountant,8,5678 Street Karachi
1996-03-03,Male,Married,Islam,Pakistani,9445731398082,Zakir Khan,Professor,1,9012 Street Islamabad
2001-01-10,Female,Other,Islam,Pakistani,6117861351005,Zara Ahmed,Artist,2,1234 Street Lahore
1996-07-23,Male,Single,Islam,Pakistani,7433949460575,Zeeshan Ali,Engineer,3,5678 Street Karachi
2000-11-13,Female,Married,Islam,Pakistani,8006377316103,Zia Ahmed,Doctor,4,9012 Street Islamabad
2001-11-03,Male,Other,Islam,Pakistani,6918979959249,Zubair Ali,Teacher,5,1234 Street Lahore
2003-01-27,Male,Single,Islam,Pakistani,8912505339549,Muhammad Khan,Engineer,1,123 Street Lahore
1997-11-20,Female,Married,Islam,Pakistani,1875036104389,Ahmed Ali,Doctor,2,456 Street Karachi
1994-12-03,Male,Other,Islam,Pakistani,5090547215699,Abdul Ahmed,Teacher,3,789 Street Islamabad
1997-12-28,Female,Single,Islam,Pakistani,4397906401389,Asad Khan,Accountant,4,012 Street Lahore
1995-10-25,Male,Married,Islam,Pakistani,1474341491037,Kamran Hassan,Professor,5,345 Street Karachi
1997-07-30,Female,Other,Islam,Pakistani,7704120033564,Imran Ahmed,Artist,6,678 Street Islamabad
1996-05-05,Male,Single,Islam,Pakistani,3682048789533,Farhan Ali,Engineer,7,901 Street Lahore
1994-11-11,Female,Married,Islam,Pakistani,5011163958750,Naveed Khan,Doctor,8,234 Street Karachi
2001-09-15,Male,Other,Islam,Pakistani,3989327839290,Tahir Ahmed,Teacher,1,567 Street Islamabad
1994-11-11,Female,Single,Islam,Pakistani,4210600794213,Usama Ali,Accountant,2,890 Street Lahore
2003-02-20,Male,Married,Islam,Pakistani,7005930810507,Waqar Khan,Professor,3,9012 Street Karachi
1996-03-06,Female,Other,Islam,Pakistani,5224165937668,Zubair Ahmed,Artist,4,3456 Street Islamabad
1998-07-01,Male,Single,Islam,Pakistani,0617253357438,Ahmed Ali,Engineer,5,6789 Street Lahore
2004-02-12,Female,Married,Islam,Pakistani,3378628508713,Bilal Khan,Doctor,6,0123 Street Karachi
2001-06-08,Male,Other,Islam,Pakistani,2134224324475,Faisal Ahmed,Teacher,7,2345 Street Islamabad
2000-05-28,Female,Single,Islam,Pakistani,7514874514664,Ghulam Ali,Accountant,8,5678 Street Lahore
1996-05-09,Male,Married,Islam,Pakistani,8088815284784,Hassan Khan,Professor,1,9012 Street Karachi
2002-12-15,Female,Other,Islam,Pakistani,1973930780699,Imran Ahmed,Artist,2,3456 Street Islamabad
1996-06-24,Male,Single,Islam,Pakistani,6003706832061,Javed Ali,Engineer,3,7890 Street Lahore
1999-04-17,Female,Married,Islam,Pakistani,2316929187585,Khalid Khan,Doctor,4,1234 Street Karachi
2002-07-28,Male,Other,Islam,Pakistani,9995653052369,Mohammad Hassan,Teacher,5,5678 Street Islamabad
1995-09-07,Female,Single,Islam,Pakistani,9832525766173,Obaid Ali,Accountant,6,9012 Street Lahore
2000-09-04,Male,Married,Islam,Pakistani,5940326712998,Shahid Khan,Professor,7,3456 Street Karachi
2000-04-07,Female,Other,Islam,Pakistani,6267813949864,Waheed Ahmed,Artist,8,7890 Street Islamabad
1996-06-04,Male,Single,Islam,Pakistani,4941398424139,Yasir Ali,Engineer,1,1234 Street Lahore
2004-08-07,Female,Married,Islam,Pakistani,9132266315703,Zubair Khan,Doctor,2,5678 Street Karachi
1996-07-08,Male,Other,Islam,Pakistani,2916017576297,Asad Ahmed,Teacher,3,9012 Street Islamabad
1999-04-28,Female,Single,Islam,Pakistani,2561066291337,Bilal Ali,Accountant,4,2345 Street Lahore
1994-12-05,Male,Married,Islam,Pakistani,4974928080597,Fahad Khan,Professor,5,5678 Street Karachi
2003-12-27,Female,Other,Islam,Pakistani,1842967985193,Faisal Ahmed,Artist,6,9012 Street Lahore
1995-05-08,Male,Single,Islam,Pakistani,5024046327837,Ghulam Ali,Engineer,7,3456 Street Islamabad
1995-04-22,Female,Married,Islam,Pakistani,1892346897508,Haris Ali,Doctor,8,7890 Street Karachi
1998-05-10,Male,Other,Islam,Pakistani,9302718994100,Imran Khan,Teacher,1,1234 Street Lahore
2000-01-26,Female,Single,Islam,Pakistani,2611713155976,Javed Ahmed,Accountant,2,5678 Street Karachi
1998-06-11,Male,Married,Islam,Pakistani,6047747645838,Kamran Ali,Professor,3,9012 Street Islamabad
1997-01-19,Female,Other,Islam,Pakistani,4303825052403,Khalid Ahmed,Artist,4,1234 Street Lahore
1999-12-26,Male,Single,Islam,Pakistani,5771363359979,Mohammad Ali,Engineer,5,5678 Street Karachi
1997-08-14,Female,Married,Islam,Pakistani,7132372540432,Nadeem Khan,Doctor,6,9012 Street Islamabad
1997-04-22,Male,Other,Islam,Pakistani,4756146536551,Obaid Ahmed,Teacher,7,1234 Street Lahore
1996-12-04,Female,Single,Islam,Pakistani,3462852447634,Rizwan Ali,Accountant,8,5678 Street Karachi
2000-07-04,Male,Married,Islam,Pakistani,8977933505719,Saad Ahmed,Professor,1,9012 Street Islamabad
1996-11-02,Female,Other,Islam,Pakistani,0529450907608,Sajid Khan,Artist,2,1234 Street Lahore
2001-12-17,Male,Single,Islam,Pakistani,5109846435252,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1998-06-24,Female,Married,Islam,Pakistani,5219396526670,Salman Ali,Doctor,4,9012 Street Islamabad
1994-06-11,Male,Other,Islam,Pakistani,3774322865923,Sami Khan,Teacher,5,1234 Street Lahore
1994-07-27,Female,Single,Islam,Pakistani,6821129548819,Saqib Ali,Accountant,6,5678 Street Karachi
2001-09-12,Female,Single,Islam,Pakistani,3671287440575,Zubair Ahmed,Accountant,6,5678 Street Karachi
2000-07-17,Male,Married,Islam,Pakistani,1091468998717,Ahmed Ali,Professor,7,9012 Street Islamabad
1997-05-11,Female,Other,Islam,Pakistani,7346872190248,Asad Khan,Artist,8,1234 Street Lahore
1999-10-05,Male,Single,Islam,Pakistani,0018407777053,Asad Ahmed,Engineer,1,5678 Street Karachi
2003-09-18,Female,Married,Islam,Pakistani,2437297878391,Bilal Khan,Doctor,2,9012 Street Islamabad
2000-03-18,Male,Other,Islam,Pakistani,5816345858930,Faisal Ahmed,Teacher,3,1234 Street Lahore
2004-10-12,Female,Single,Islam,Pakistani,0606040825079,Ghulam Ali,Accountant,4,5678 Street Karachi
2004-05-07,Male,Married,Islam,Pakistani,0462289942948,Hassan Khan,Professor,5,9012 Street Islamabad
1995-01-19,Female,Other,Islam,Pakistani,0801026607230,Imran Ahmed,Artist,6,1234 Street Lahore
2000-10-23,Male,Single,Islam,Pakistani,4193510807482,Javed Ali,Engineer,7,5678 Street Karachi
1996-04-14,Female,Married,Islam,Pakistani,9100307137249,Khalid Khan,Doctor,8,9012 Street Islamabad
1995-02-03,Male,Other,Islam,Pakistani,5029671982979,Mohammad Hassan,Teacher,1,1234 Street Lahore
2002-10-11,Male,Married,Islam,Pakistani,4684356711003,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1997-07-17,Female,Other,Islam,Pakistani,3295855989337,Shahid Ali,Artist,8,1234 Street Lahore
1998-06-26,Male,Single,Islam,Pakistani,0277119279568,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1998-01-25,Female,Married,Islam,Pakistani,1939220518068,Shoaib Khan,Doctor,2,9012 Street Islamabad
1997-08-28,Male,Other,Islam,Pakistani,7469842610928,Sohail Ahmed,Teacher,3,1234 Street Lahore
1997-12-28,Female,Single,Islam,Pakistani,8929160217697,Taimoor Ali,Accountant,4,5678 Street Karachi
1995-06-26,Male,Married,Islam,Pakistani,6452802432800,Talha Ahmed,Professor,5,9012 Street Islamabad
1994-06-28,Female,Other,Islam,Pakistani,7191842055878,Tariq Ali,Artist,6,1234 Street Lahore
1994-10-30,Male,Single,Islam,Pakistani,2830479769405,Waqas Ahmed,Engineer,7,5678 Street Karachi
2001-07-23,Female,Married,Islam,Pakistani,8409803250735,Waseem Khan,Doctor,8,9012 Street Islamabad
1999-11-22,Male,Other,Islam,Pakistani,1277346414167,Yasir Ahmed,Teacher,1,1234 Street Lahore
1998-04-21,Female,Single,Islam,Pakistani,6500946975730,Yasir Khan,Accountant,2,5678 Street Karachi
1994-10-14,Male,Married,Islam,Pakistani,7048852321020,Zafar Ali,Professor,3,9012 Street Islamabad
1996-03-20,Female,Other,Islam,Pakistani,8566064924607,Zahid Ahmed,Artist,4,1234 Street Lahore
2002-11-16,Male,Single,Islam,Pakistani,7831158758215,Zaid Khan,Engineer,5,5678 Street Karachi
1996-03-30,Female,Married,Islam,Pakistani,9306776882677,Zain Ahmed,Doctor,6,9012 Street Islamabad
1996-09-09,Male,Other,Islam,Pakistani,3993730890261,Zainab Khan,Teacher,7,1234 Street Lahore
2002-04-29,Female,Single,Islam,Pakistani,6704487406695,Zainul Abideen,Accountant,8,5678 Street Karachi
2000-11-19,Male,Married,Islam,Pakistani,8838738943622,Zakir Khan,Professor,1,9012 Street Islamabad
1996-09-29,Female,Other,Islam,Pakistani,7050484199126,Zara Ahmed,Artist,2,1234 Street Lahore
2001-12-08,Male,Single,Islam,Pakistani,7055249940107,Zeeshan Ali,Engineer,3,5678 Street Karachi
2000-02-12,Female,Married,Islam,Pakistani,3098861977801,Zia Ahmed,Doctor,4,9012 Street Islamabad
1994-10-18,Male,Other,Islam,Pakistani,8843587848549,Zubair Ali,Teacher,5,1234 Street Lahore
1996-10-30,Female,Single,Islam,Pakistani,4214719913963,Zubair Ahmed,Accountant,6,5678 Street Karachi
2002-10-20,Male,Married,Islam,Pakistani,3345385458828,Ahmed Ali,Professor,7,9012 Street Islamabad
2002-08-09,Female,Other,Islam,Pakistani,4240579205322,Asad Khan,Artist,8,1234 Street Lahore
1995-10-27,Male,Single,Islam,Pakistani,6062139657378,Asad Ahmed,Engineer,1,5678 Street Karachi
1994-05-20,Female,Married,Islam,Pakistani,4727239292095,Bilal Khan,Doctor,2,9012 Street Islamabad
1995-01-29,Male,Other,Islam,Pakistani,4920385887324,Faisal Ahmed,Teacher,3,1234 Street Lahore
1995-09-21,Female,Single,Islam,Pakistani,6025904136288,Ghulam Ali,Accountant,4,5678 Street Karachi
2004-11-30,Male,Married,Islam,Pakistani,1274061708549,Hassan Khan,Professor,5,9012 Street Islamabad
2000-06-20,Female,Other,Islam,Pakistani,7521966353359,Imran Ahmed,Artist,6,1234 Street Lahore
1995-11-04,Male,Single,Islam,Pakistani,9982816404957,Javed Ali,Engineer,7,5678 Street Karachi
1996-07-11,Female,Married,Islam,Pakistani,7111128517984,Khalid Khan,Doctor,8,9012 Street Islamabad
1997-02-02,Male,Other,Islam,Pakistani,9176463899820,Mohammad Hassan,Teacher,1,1234 Street Lahore
1996-11-09,Female,Single,Islam,Pakistani,6101121671756,Obaid Ali,Accountant,2,5678 Street Karachi
1995-04-10,Male,Married,Islam,Pakistani,8752443883874,Shahid Khan,Professor,3,9012 Street Islamabad
1995-10-23,Female,Other,Islam,Pakistani,2950173993667,Waheed Ahmed,Artist,4,1234 Street Lahore
2000-09-10,Male,Single,Islam,Pakistani,9954340544651,Yasir Ali,Engineer,5,5678 Street Karachi
2001-01-15,Female,Married,Islam,Pakistani,4811982573477,Zubair Khan,Doctor,6,9012 Street Islamabad
1995-07-20,Male,Other,Islam,Pakistani,1405060614049,Asad Ahmed,Teacher,7,1234 Street Lahore
1997-06-17,Female,Single,Islam,Pakistani,9643098830343,Bilal Ali,Accountant,8,5678 Street Karachi
2002-08-30,Male,Married,Islam,Pakistani,2051114461485,Fahad Khan,Professor,1,9012 Street Islamabad
1998-04-27,Female,Other,Islam,Pakistani,0633810282968,Faisal Ahmed,Artist,2,1234 Street Lahore
1996-05-04,Male,Single,Islam,Pakistani,3364035112943,Ghulam Ali,Engineer,3,5678 Street Karachi
2004-03-08,Female,Married,Islam,Pakistani,1234614189183,Haris Ali,Doctor,4,9012 Street Islamabad
2001-09-11,Male,Other,Islam,Pakistani,9061993419847,Imran Khan,Teacher,5,1234 Street Lahore
1998-06-30,Female,Single,Islam,Pakistani,7267745777253,Javed Ahmed,Accountant,6,5678 Street Karachi
2000-04-12,Male,Married,Islam,Pakistani,0607129805402,Kamran Ali,Professor,7,9012 Street Islamabad
2004-02-17,Female,Other,Islam,Pakistani,6874888371873,Khalid Ahmed,Artist,8,1234 Street Lahore
1996-09-22,Male,Single,Islam,Pakistani,0770748459911,Mohammad Ali,Engineer,1,5678 Street Karachi
1998-05-07,Female,Married,Islam,Pakistani,0128758817186,Nadeem Khan,Doctor,2,9012 Street Islamabad
1997-08-08,Male,Other,Islam,Pakistani,8071592996894,Obaid Ahmed,Teacher,3,1234 Street Lahore
2003-01-04,Female,Single,Islam,Pakistani,1531121314959,Rizwan Ali,Accountant,4,5678 Street Karachi
1996-09-14,Male,Married,Islam,Pakistani,2330342254733,Saad Ahmed,Professor,5,9012 Street Islamabad
1998-05-24,Female,Other,Islam,Pakistani,0294888353652,Sajid Khan,Artist,6,1234 Street Lahore
1998-09-17,Male,Single,Islam,Pakistani,3073214654508,Sajjad Ahmed,Engineer,7,5678 Street Karachi
1994-07-15,Female,Married,Islam,Pakistani,0112678477286,Salman Ali,Doctor,8,9012 Street Islamabad
1999-06-08,Male,Other,Islam,Pakistani,0396037603606,Sami Khan,Teacher,1,1234 Street Lahore
2000-09-12,Female,Single,Islam,Pakistani,6224183232426,Saqib Ali,Accountant,2,5678 Street Karachi
2004-01-04,Male,Married,Islam,Pakistani,7157068239414,Shahbaz Ahmed,Professor,3,9012 Street Islamabad
2003-12-16,Female,Other,Islam,Pakistani,6157390815057,Shahid Ali,Artist,4,1234 Street Lahore
1998-09-24,Male,Single,Islam,Pakistani,0362798499610,Shakeel Ahmed,Engineer,5,5678 Street Karachi
1998-12-14,Female,Married,Islam,Pakistani,2259865829259,Shoaib Khan,Doctor,6,9012 Street Islamabad
2003-03-10,Male,Other,Islam,Pakistani,0217313710604,Sohail Ahmed,Teacher,7,1234 Street Lahore
2004-01-20,Female,Single,Islam,Pakistani,6644523868308,Taimoor Ali,Accountant,8,5678 Street Karachi
2002-05-03,Male,Married,Islam,Pakistani,4769457809447,Talha Ahmed,Professor,1,9012 Street Islamabad
1997-02-11,Female,Other,Islam,Pakistani,8383480889566,Tariq Ali,Artist,2,1234 Street Lahore
2002-02-20,Male,Single,Islam,Pakistani,5145487423656,Waqas Ahmed,Engineer,3,5678 Street Karachi
1996-08-02,Female,Married,Islam,Pakistani,2455016066370,Waseem Khan,Doctor,4,9012 Street Islamabad
1996-06-12,Male,Other,Islam,Pakistani,8885506072505,Yasir Ahmed,Teacher,5,1234 Street Lahore
2002-01-01,Female,Single,Islam,Pakistani,6298481361490,Yasir Khan,Accountant,6,5678 Street Karachi
1994-03-03,Male,Married,Islam,Pakistani,7353084949299,Zafar Ali,Professor,7,9012 Street Islamabad
2001-07-22,Female,Other,Islam,Pakistani,9850834734404,Zahid Ahmed,Artist,8,1234 Street Lahore
1996-06-24,Male,Single,Islam,Pakistani,1858182489907,Zaid Khan,Engineer,1,5678 Street Karachi
2004-04-11,Female,Married,Islam,Pakistani,7908633032433,Zain Ahmed,Doctor,2,9012 Street Islamabad
1997-12-28,Male,Other,Islam,Pakistani,3172530181314,Zainab Khan,Teacher,3,1234 Street Lahore
2000-12-11,Female,Single,Islam,Pakistani,7654808470424,Zainul Abideen,Accountant,4,5678 Street Karachi
1998-06-01,Male,Married,Islam,Pakistani,2349434985466,Zakir Khan,Professor,5,9012 Street Islamabad
2001-06-07,Female,Other,Islam,Pakistani,5633009594626,Zara Ahmed,Artist,6,1234 Street Lahore
1997-05-01,Male,Single,Islam,Pakistani,1008691311615,Zeeshan Ali,Engineer,7,5678 Street Karachi
2000-06-23,Female,Married,Islam,Pakistani,8467444735268,Zia Ahmed,Doctor,8,9012 Street Islamabad
2003-08-20,Male,Other,Islam,Pakistani,3148972302349,Zubair Ali,Teacher,1,1234 Street Lahore
2000-12-01,Female,Single,Islam,Pakistani,3498635904584,Zubair Ahmed,Accountant,2,5678 Street Karachi
2002-04-29,Male,Married,Islam,Pakistani,4520143795356,Ahmed Ali,Professor,3,9012 Street Islamabad
1996-07-07,Female,Other,Islam,Pakistani,4274724056571,Asad Khan,Artist,4,1234 Street Lahore
2002-07-14,Male,Single,Islam,Pakistani,1308243789140,Asad Ahmed,Engineer,5,5678 Street Karachi
2003-05-08,Female,Married,Islam,Pakistani,1087423742122,Bilal Khan,Doctor,6,9012 Street Islamabad
1995-07-12,Male,Other,Islam,Pakistani,8621959372195,Faisal Ahmed,Teacher,7,1234 Street Lahore
2002-02-19,Female,Single,Islam,Pakistani,7037402695122,Ghulam Ali,Accountant,8,5678 Street Karachi
1994-06-20,Male,Married,Islam,Pakistani,3438990519611,Hassan Khan,Professor,1,9012 Street Islamabad
2001-07-27,Female,Other,Islam,Pakistani,7255304108468,Imran Ahmed,Artist,2,1234 Street Lahore
2000-03-17,Male,Single,Islam,Pakistani,4884416765316,Javed Ali,Engineer,3,5678 Street Karachi
1996-01-31,Female,Married,Islam,Pakistani,7064126017674,Khalid Khan,Doctor,4,9012 Street Islamabad
1994-01-08,Male,Other,Islam,Pakistani,7657109548318,Mohammad Hassan,Teacher,5,1234 Street Lahore
1994-07-31,Female,Single,Islam,Pakistani,5622436605833,Obaid Ali,Accountant,6,5678 Street Karachi
2001-05-19,Male,Married,Islam,Pakistani,2705760226682,Shahid Khan,Professor,7,9012 Street Islamabad
1996-03-13,Female,Other,Islam,Pakistani,7206373173813,Waheed Ahmed,Artist,8,1234 Street Lahore
1994-05-22,Male,Single,Islam,Pakistani,3889127215489,Yasir Ali,Engineer,1,5678 Street Karachi
2000-06-13,Female,Married,Islam,Pakistani,8257966484506,Zubair Khan,Doctor,2,9012 Street Islamabad
2003-06-26,Male,Other,Islam,Pakistani,6806863341668,Asad Ahmed,Teacher,3,1234 Street Lahore
2002-02-18,Female,Single,Islam,Pakistani,1479253598965,Bilal Ali,Accountant,4,5678 Street Karachi
1996-02-25,Male,Married,Islam,Pakistani,6819795855932,Fahad Khan,Professor,5,9012 Street Islamabad
1996-07-29,Female,Other,Islam,Pakistani,5052890743479,Faisal Ahmed,Artist,6,1234 Street Lahore
1996-09-23,Male,Single,Islam,Pakistani,1014914975969,Ghulam Ali,Engineer,7,5678 Street Karachi
1998-09-13,Female,Married,Islam,Pakistani,3032723860130,Haris Ali,Doctor,8,9012 Street Islamabad
2004-02-20,Male,Other,Islam,Pakistani,6673868982926,Imran Khan,Teacher,1,1234 Street Lahore
1998-03-26,Female,Single,Islam,Pakistani,7297273492151,Javed Ahmed,Accountant,2,5678 Street Karachi
1997-04-22,Male,Married,Islam,Pakistani,5839555975597,Kamran Ali,Professor,3,9012 Street Islamabad
1999-04-08,Female,Other,Islam,Pakistani,0300284010360,Khalid Ahmed,Artist,4,1234 Street Lahore
1995-11-26,Male,Single,Islam,Pakistani,8532329686375,Mohammad Ali,Engineer,5,5678 Street Karachi
2003-06-20,Female,Married,Islam,Pakistani,1744371020039,Nadeem Khan,Doctor,6,9012 Street Islamabad
1999-09-13,Male,Other,Islam,Pakistani,5399886854384,Obaid Ahmed,Teacher,7,1234 Street Lahore
2000-07-18,Female,Single,Islam,Pakistani,4837848204171,Rizwan Ali,Accountant,8,5678 Street Karachi
2004-12-24,Male,Married,Islam,Pakistani,1406655941807,Saad Ahmed,Professor,1,9012 Street Islamabad
1994-06-25,Female,Other,Islam,Pakistani,4948745658805,Sajid Khan,Artist,2,1234 Street Lahore
1997-04-25,Male,Single,Islam,Pakistani,5636859343724,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1995-02-10,Female,Married,Islam,Pakistani,3062686879932,Salman Ali,Doctor,4,9012 Street Islamabad
1994-02-09,Male,Other,Islam,Pakistani,6348490171343,Sami Khan,Teacher,5,1234 Street Lahore
1996-05-22,Female,Single,Islam,Pakistani,6293792149213,Saqib Ali,Accountant,6,5678 Street Karachi
1995-10-20,Male,Married,Islam,Pakistani,0939518718870,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1998-05-03,Female,Other,Islam,Pakistani,1138150288718,Shahid Ali,Artist,8,1234 Street Lahore
1999-06-29,Male,Single,Islam,Pakistani,4693651124779,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1995-10-09,Female,Married,Islam,Pakistani,9082968620319,Shoaib Khan,Doctor,2,9012 Street Islamabad
1998-04-20,Male,Other,Islam,Pakistani,1366682900663,Sohail Ahmed,Teacher,3,1234 Street Lahore
1998-07-05,Female,Single,Islam,Pakistani,0311960213557,Taimoor Ali,Accountant,4,5678 Street Karachi
1999-12-25,Male,Married,Islam,Pakistani,4533723902068,Talha Ahmed,Professor,5,9012 Street Islamabad
