date_of_birth,gender,marital_status,religion,nationality,cnic,father_name,father_occupation,semester,address
1965-12-06,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,4,1234 Street Lahore
1964-01-07,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,5,5678 Street Karachi
1963-02-08,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,6,9012 Street Islamabad
1962-03-09,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,7,1234 Street Lahore
1961-04-10,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,8,5678 Street Karachi
1960-05-11,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,1,9012 Street Islamabad
1959-06-12,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,2,1234 Street Lahore
1958-07-13,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1957-08-14,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,4,9012 Street Islamabad
1956-09-15,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,5,1234 Street Lahore
1955-10-16,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,6,5678 Street Karachi
1954-11-17,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1953-12-18,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,8,1234 Street Lahore
1952-01-19,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1951-02-20,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,2,9012 Street Islamabad
1950-03-21,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,3,1234 Street Lahore
1949-04-22,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,4,5678 Street Karachi
1948-05-23,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,5,9012 Street Islamabad
1947-06-24,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,6,1234 Street Lahore
1946-07-25,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,7,5678 Street Karachi
1945-08-26,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,8,9012 Street Islamabad
1944-09-27,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,1,1234 Street Lahore
1943-10-28,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,2,5678 Street Karachi
1942-11-29,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,3,9012 Street Islamabad
1941-12-30,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,4,1234 Street Lahore
1940-01-31,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,5,5678 Street Karachi
1939-02-01,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,6,9012 Street Islamabad
1938-03-02,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,7,1234 Street Lahore
1937-04-03,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,8,5678 Street Karachi
1936-05-04,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,1,9012 Street Islamabad
1935-06-05,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,2,1234 Street Lahore
1934-07-06,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,3,5678 Street Karachi
1933-08-07,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,4,9012 Street Islamabad
1932-09-08,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,5,1234 Street Lahore
2000-01-01,male,single,Islam,Pakistani,123451234512345,Muhammad Khan,Engineer,1,123 Street Lahore
1999-02-02,female,married,Islam,Pakistani,234562345623456,Ahmed Ali,Doctor,2,456 Street Karachi
1998-03-03,male,other,Islam,Pakistani,345673456734567,Abdul Ahmed,Teacher,3,789 Street Islamabad
1997-04-04,female,single,Islam,Pakistani,456784567845678,Asad Khan,Accountant,4,012 Street Lahore
1996-05-05,male,married,Islam,Pakistani,567895678956789,Kamran Hassan,Professor,5,345 Street Karachi
1995-06-06,female,other,Islam,Pakistani,678906789067890,Imran Ahmed,Artist,6,678 Street Islamabad
1994-07-07,male,single,Islam,Pakistani,789017890178901,Farhan Ali,Engineer,7,901 Street Lahore
1993-08-08,female,married,Islam,Pakistani,890128901289012,Naveed Khan,Doctor,8,234 Street Karachi
1992-09-09,male,other,Islam,Pakistani,901239012390123,Tahir Ahmed,Teacher,1,567 Street Islamabad
1991-10-10,female,single,Islam,Pakistani,012340123401234,Usama Ali,Accountant,2,890 Street Lahore
1990-11-11,male,married,Islam,Pakistani,123451234512345,Waqar Khan,Professor,3,9012 Street Karachi
1989-12-12,female,other,Islam,Pakistani,234562345623456,Zubair Ahmed,Artist,4,3456 Street Islamabad
1988-01-13,male,single,Islam,Pakistani,345673456734567,Ahmed Ali,Engineer,5,6789 Street Lahore
1987-02-14,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,6,0123 Street Karachi
1986-03-15,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,7,2345 Street Islamabad
1985-04-16,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,8,5678 Street Lahore
1984-05-17,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,1,9012 Street Karachi
1983-06-18,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,2,3456 Street Islamabad
1982-07-19,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,3,7890 Street Lahore
1981-08-20,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,4,1234 Street Karachi
1980-09-21,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,5,5678 Street Islamabad
1979-10-22,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,6,9012 Street Lahore
1978-11-23,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,7,3456 Street Karachi
1977-12-24,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,8,7890 Street Islamabad
1976-01-25,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,1,1234 Street Lahore
1975-02-26,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,2,5678 Street Karachi
1974-03-27,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,3,9012 Street Islamabad
1973-04-28,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,4,2345 Street Lahore
1972-05-29,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,5,5678 Street Karachi
1971-06-30,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,6,9012 Street Lahore
1970-07-01,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,7,3456 Street Islamabad
1969-08-02,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,8,7890 Street Karachi
1968-09-03,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,1,1234 Street Lahore
1967-10-04,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,2,5678 Street Karachi
1966-11-05,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,3,9012 Street Islamabad
1965-12-06,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,4,1234 Street Lahore
1964-01-07,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,5,5678 Street Karachi
1963-02-08,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,6,9012 Street Islamabad
1962-03-09,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,7,1234 Street Lahore
1961-04-10,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,8,5678 Street Karachi
1960-05-11,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,1,9012 Street Islamabad
1959-06-12,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,2,1234 Street Lahore
1958-07-13,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1957-08-14,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,4,9012 Street Islamabad
1956-09-15,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,5,1234 Street Lahore
1955-10-16,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,6,5678 Street Karachi
1931-10-09,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,6,5678 Street Karachi
1930-11-10,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,7,9012 Street Islamabad
1929-12-11,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,8,1234 Street Lahore
1928-01-12,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,1,5678 Street Karachi
1927-02-13,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,2,9012 Street Islamabad
1926-03-14,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,3,1234 Street Lahore
1925-04-15,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,4,5678 Street Karachi
1924-05-16,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,5,9012 Street Islamabad
1923-06-17,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,6,1234 Street Lahore
1922-07-18,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,7,5678 Street Karachi
1921-08-19,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,8,9012 Street Islamabad
1920-09-20,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,1,1234 Street Lahore
1954-11-17,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1953-12-18,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,8,1234 Street Lahore
1952-01-19,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1951-02-20,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,2,9012 Street Islamabad
1950-03-21,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,3,1234 Street Lahore
1949-04-22,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,4,5678 Street Karachi
1948-05-23,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,5,9012 Street Islamabad
1947-06-24,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,6,1234 Street Lahore
1946-07-25,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,7,5678 Street Karachi
1945-08-26,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,8,9012 Street Islamabad
1944-09-27,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,1,1234 Street Lahore
1943-10-28,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,2,5678 Street Karachi
1942-11-29,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,3,9012 Street Islamabad
1941-12-30,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,4,1234 Street Lahore
1940-01-31,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,5,5678 Street Karachi
1939-02-01,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,6,9012 Street Islamabad
1938-03-02,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,7,1234 Street Lahore
1937-04-03,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,8,5678 Street Karachi
1936-05-04,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,1,9012 Street Islamabad
1935-06-05,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,2,1234 Street Lahore
1934-07-06,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,3,5678 Street Karachi
1933-08-07,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,4,9012 Street Islamabad
1932-09-08,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,5,1234 Street Lahore
1931-10-09,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,6,5678 Street Karachi
1930-11-10,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,7,9012 Street Islamabad
1929-12-11,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,8,1234 Street Lahore
1928-01-12,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,1,5678 Street Karachi
1927-02-13,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,2,9012 Street Islamabad
1926-03-14,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,3,1234 Street Lahore
1925-04-15,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,4,5678 Street Karachi
1924-05-16,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,5,9012 Street Islamabad
1923-06-17,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,6,1234 Street Lahore
1922-07-18,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,7,5678 Street Karachi
1921-08-19,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,8,9012 Street Islamabad
1920-09-20,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,1,1234 Street Lahore
1919-10-21,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,2,5678 Street Karachi
1918-11-22,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,3,9012 Street Islamabad
1917-12-23,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,4,1234 Street Lahore
1916-01-24,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,5,5678 Street Karachi
1915-02-25,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,6,9012 Street Islamabad
1914-03-26,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,7,1234 Street Lahore
1913-04-27,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,8,5678 Street Karachi
1912-05-28,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,1,9012 Street Islamabad
1911-06-29,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,2,1234 Street Lahore
1910-07-30,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,3,5678 Street Karachi
1909-08-31,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,4,9012 Street Islamabad
1908-09-01,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,5,1234 Street Lahore
1907-10-02,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,6,5678 Street Karachi
1906-11-03,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,7,9012 Street Islamabad
1905-12-04,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,8,1234 Street Lahore
1904-01-05,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,1,5678 Street Karachi
1903-02-06,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,2,9012 Street Islamabad
1902-03-07,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,3,1234 Street Lahore
1901-04-08,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,4,5678 Street Karachi
1900-05-09,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,5,9012 Street Islamabad
1899-06-10,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,6,1234 Street Lahore
1898-07-11,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,7,5678 Street Karachi
1897-08-12,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,8,9012 Street Islamabad
1896-09-13,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,1,1234 Street Lahore
1895-10-14,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,2,5678 Street Karachi
1894-11-15,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,3,9012 Street Islamabad
1893-12-16,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,4,1234 Street Lahore
1892-01-17,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,5,5678 Street Karachi
1891-02-18,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,6,9012 Street Islamabad
1890-03-19,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,7,1234 Street Lahore
1889-04-20,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,8,5678 Street Karachi
1888-05-21,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,1,9012 Street Islamabad
1887-06-22,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,2,1234 Street Lahore
1886-07-23,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,3,5678 Street Karachi
1885-08-24,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,4,9012 Street Islamabad
1884-09-25,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,5,1234 Street Lahore
1883-10-26,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,6,5678 Street Karachi
1882-11-27,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,7,9012 Street Islamabad
1881-12-28,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,8,1234 Street Lahore
1880-01-29,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,1,5678 Street Karachi
1879-02-30,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,2,9012 Street Islamabad
1878-03-31,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,3,1234 Street Lahore
1877-04-01,female,single,Islam,Pakistani,456784567845678,Zainul Abideen,Accountant,4,5678 Street Karachi
1876-05-02,male,married,Islam,Pakistani,567895678956789,Zakir Khan,Professor,5,9012 Street Islamabad
1875-06-03,female,other,Islam,Pakistani,678906789067890,Zara Ahmed,Artist,6,1234 Street Lahore
1874-07-04,male,single,Islam,Pakistani,789017890178901,Zeeshan Ali,Engineer,7,5678 Street Karachi
1873-08-05,female,married,Islam,Pakistani,890128901289012,Zia Ahmed,Doctor,8,9012 Street Islamabad
1872-09-06,male,other,Islam,Pakistani,901239012390123,Zubair Ali,Teacher,1,1234 Street Lahore
1871-10-07,female,single,Islam,Pakistani,012340123401234,Zubair Ahmed,Accountant,2,5678 Street Karachi
1870-11-08,male,married,Islam,Pakistani,123451234512345,Ahmed Ali,Professor,3,9012 Street Islamabad
1869-12-09,female,other,Islam,Pakistani,234562345623456,Asad Khan,Artist,4,1234 Street Lahore
1868-01-10,male,single,Islam,Pakistani,345673456734567,Asad Ahmed,Engineer,5,5678 Street Karachi
1867-02-11,female,married,Islam,Pakistani,456784567845678,Bilal Khan,Doctor,6,9012 Street Islamabad
1866-03-12,male,other,Islam,Pakistani,567895678956789,Faisal Ahmed,Teacher,7,1234 Street Lahore
1865-04-13,female,single,Islam,Pakistani,678906789067890,Ghulam Ali,Accountant,8,5678 Street Karachi
1864-05-14,male,married,Islam,Pakistani,789017890178901,Hassan Khan,Professor,1,9012 Street Islamabad
1863-06-15,female,other,Islam,Pakistani,890128901289012,Imran Ahmed,Artist,2,1234 Street Lahore
1862-07-16,male,single,Islam,Pakistani,901239012390123,Javed Ali,Engineer,3,5678 Street Karachi
1861-08-17,female,married,Islam,Pakistani,012340123401234,Khalid Khan,Doctor,4,9012 Street Islamabad
1860-09-18,male,other,Islam,Pakistani,123451234512345,Mohammad Hassan,Teacher,5,1234 Street Lahore
1859-10-19,female,single,Islam,Pakistani,234562345623456,Obaid Ali,Accountant,6,5678 Street Karachi
1858-11-20,male,married,Islam,Pakistani,345673456734567,Shahid Khan,Professor,7,9012 Street Islamabad
1857-12-21,female,other,Islam,Pakistani,456784567845678,Waheed Ahmed,Artist,8,1234 Street Lahore
1856-01-22,male,single,Islam,Pakistani,567895678956789,Yasir Ali,Engineer,1,5678 Street Karachi
1855-02-23,female,married,Islam,Pakistani,678906789067890,Zubair Khan,Doctor,2,9012 Street Islamabad
1854-03-24,male,other,Islam,Pakistani,789017890178901,Asad Ahmed,Teacher,3,1234 Street Lahore
1853-04-25,female,single,Islam,Pakistani,890128901289012,Bilal Ali,Accountant,4,5678 Street Karachi
1852-05-26,male,married,Islam,Pakistani,901239012390123,Fahad Khan,Professor,5,9012 Street Islamabad
1851-06-27,female,other,Islam,Pakistani,012340123401234,Faisal Ahmed,Artist,6,1234 Street Lahore
1850-07-28,male,single,Islam,Pakistani,123451234512345,Ghulam Ali,Engineer,7,5678 Street Karachi
1849-08-29,female,married,Islam,Pakistani,234562345623456,Haris Ali,Doctor,8,9012 Street Islamabad
1848-09-30,male,other,Islam,Pakistani,345673456734567,Imran Khan,Teacher,1,1234 Street Lahore
1847-10-31,female,single,Islam,Pakistani,456784567845678,Javed Ahmed,Accountant,2,5678 Street Karachi
1846-12-01,male,married,Islam,Pakistani,567895678956789,Kamran Ali,Professor,3,9012 Street Islamabad
1845-01-02,female,other,Islam,Pakistani,678906789067890,Khalid Ahmed,Artist,4,1234 Street Lahore
1844-02-03,male,single,Islam,Pakistani,789017890178901,Mohammad Ali,Engineer,5,5678 Street Karachi
1843-03-04,female,married,Islam,Pakistani,890128901289012,Nadeem Khan,Doctor,6,9012 Street Islamabad
1842-04-05,male,other,Islam,Pakistani,901239012390123,Obaid Ahmed,Teacher,7,1234 Street Lahore
1841-05-06,female,single,Islam,Pakistani,012340123401234,Rizwan Ali,Accountant,8,5678 Street Karachi
1840-06-07,male,married,Islam,Pakistani,123451234512345,Saad Ahmed,Professor,1,9012 Street Islamabad
1839-07-08,female,other,Islam,Pakistani,234562345623456,Sajid Khan,Artist,2,1234 Street Lahore
1838-08-09,male,single,Islam,Pakistani,345673456734567,Sajjad Ahmed,Engineer,3,5678 Street Karachi
1837-09-10,female,married,Islam,Pakistani,456784567845678,Salman Ali,Doctor,4,9012 Street Islamabad
1836-10-11,male,other,Islam,Pakistani,567895678956789,Sami Khan,Teacher,5,1234 Street Lahore
1835-11-12,female,single,Islam,Pakistani,678906789067890,Saqib Ali,Accountant,6,5678 Street Karachi
1834-12-13,male,married,Islam,Pakistani,789017890178901,Shahbaz Ahmed,Professor,7,9012 Street Islamabad
1833-01-14,female,other,Islam,Pakistani,890128901289012,Shahid Ali,Artist,8,1234 Street Lahore
1832-02-15,male,single,Islam,Pakistani,901239012390123,Shakeel Ahmed,Engineer,1,5678 Street Karachi
1831-03-16,female,married,Islam,Pakistani,012340123401234,Shoaib Khan,Doctor,2,9012 Street Islamabad
1830-04-17,male,other,Islam,Pakistani,123451234512345,Sohail Ahmed,Teacher,3,1234 Street Lahore
1829-05-18,female,single,Islam,Pakistani,234562345623456,Taimoor Ali,Accountant,4,5678 Street Karachi
1828-06-19,male,married,Islam,Pakistani,345673456734567,Talha Ahmed,Professor,5,9012 Street Islamabad
1827-07-20,female,other,Islam,Pakistani,456784567845678,Tariq Ali,Artist,6,1234 Street Lahore
1826-08-21,male,single,Islam,Pakistani,567895678956789,Waqas Ahmed,Engineer,7,5678 Street Karachi
1825-09-22,female,married,Islam,Pakistani,678906789067890,Waseem Khan,Doctor,8,9012 Street Islamabad
1824-10-23,male,other,Islam,Pakistani,789017890178901,Yasir Ahmed,Teacher,1,1234 Street Lahore
1823-11-24,female,single,Islam,Pakistani,890128901289012,Yasir Khan,Accountant,2,5678 Street Karachi
1822-12-25,male,married,Islam,Pakistani,901239012390123,Zafar Ali,Professor,3,9012 Street Islamabad
1821-01-26,female,other,Islam,Pakistani,012340123401234,Zahid Ahmed,Artist,4,1234 Street Lahore
1820-02-27,male,single,Islam,Pakistani,123451234512345,Zaid Khan,Engineer,5,5678 Street Karachi
1819-03-28,female,married,Islam,Pakistani,234562345623456,Zain Ahmed,Doctor,6,9012 Street Islamabad
1818-04-29,male,other,Islam,Pakistani,345673456734567,Zainab Khan,Teacher,7,1234 Street Lahore
